classification|enunciation|transEng|exCeb|exEng
Adlaw|Noun|Ahd-law|Day/Sun|Init kaayo ang adlaw karon.|The sun is very hot today.
Gabi-i|Noun|Gah-bee-ee|Night|Taas ang gabi-i kung mag-binuntagay ka ug trabaho.|The night feels long when you work overnight.
Bulan|Noun|Boo-lahn|Month/Moon|Ang bulan kay kahayag karon sa gabii.|The moon is bright tonight.
Oras|Noun|Oh-rah-s|Hour|Unsa nga oras ang imong pag-abot?|What time did you arrive?
Panahon|Noun|Pah-nah-hon|Weather/Time|Maayo kaayo ang panahon karong adlawa.|The weather today is very nice.
Tubig|Noun|Too-big|Water|Kinahanglan nato ug tubig matag adlaw.	We need water every day.
Hangin|Noun|Hah-ng-een|Air|Bugnaw ang hangin karong buntag.|The air is cool this morning.
Utok|Noun|Oo-tok|Brain/Mind|Kinahanglan og klaro nga utok aron mag-solve sa problema.|A clear mind is needed to solve problems.
Lawas|Noun|Lah-wah-s|Body|Ang lawas kinahanglan ug pahulay.|The body needs rest.
Kasingkasing|Noun|Kah-sing-kah-sing|Heart|Ang kasingkasing kay puno ug gugma.|The heart is full of love.
Mata|Noun|Mah-tah|Eye|Ang mata kinahanglan protektahan batok sa alikabok.|The eye should be protected from dust.
Baba|Noun|Bah-bah|Mouth|Ampingi ang imong baba samtang mokaon.|Take care of your mouth while eating.
Kamot|Noun|Kah-mot|Hand|Palihug ko ug hatag ug kamot aron makatabang.|Please lend a hand to help.
Tiil|Noun|Tee-eel|Foot/Leg|Nasamad ang akong tiil samtang naglakaw.|I hurt my foot while walking.
Kasaligan|Adjective|Kah-sah-lee-gan|Trustworthy|Siya usa ka kasaligan nga kauban sa trabaho.|He is a trustworthy colleague.
Ayaw|Verb|Ah-yaw|Don’t|Ayaw lang pagbuhat ana kung wala ka kahibalo.|Don’t do it if you don’t know how.
Magsugod|Verb|Mag-soo-god|Start|Magsugod ko ug trabaho ugma.|I’ll start work tomorrow.
Dula|Verb|Doo-lah|Play|Magdula mi ug volleyball sa hapon.|We'll play volleyball in the afternoon.
Matulog|Verb|Mah-too-log|Sleep|Matulog nako kay kapoy kaayo.|I'm going to sleep because I'm very tired.
Bangon|Verb|Bahng-on|Wake up|Bangon na, hapit na magsugod ang klase.|Wake up; class is about to start.
Kwarta	Noun|Kwar-tah|Money|Kwarta ra ang gikinahanglan para sa proyekto.|Only money is needed for the project.
Alimyon|Noun|Ah-lee-my-on|Smell|Lami ang alimyon sa luto ni mama.|The smell of mom's cooking is delicious.
Bahog|Adjective|Bah-hog|Dirty|Ang iyang sapatos kay bahog na kaayo.|His shoes are very dirty.
Limpyo|Adjective|Leem-pyo|Clean|Limpyo ang akong kwarto kay bag-o ko naglimpyo.|My room is clean because I just cleaned it.
Kusog|Adjective|Koo-sog|Strong|Kusog kaayo ang hangin karong gabii.|The wind is very strong tonight.
Huyang|Adjective|Hoo-yahng|Weak|Huyang siya tungod sa sakit.|He is weak because of illness.
Kapoy|Adjective|Kah-poy|Tired|Kapoy na kaayo ko sa trabaho.|I am very tired from work.
Gutom|Adjective|Goo-tom|Hungry|Gutom na kaayo ko, magkaon na ta.|I’m very hungry; let’s eat.
Uhaw|Adjective|Oo-hahw|Thirsty|Uhaw na kaayo ko, palihug ko ug tubig.|I'm very thirsty; please give me some water.
Dungog|Noun|Doong-og|Fame/Honor|Daghang dungog ang iyang nadawat sa iyang trabaho.|He received much honor from his work.
Tulubagon|Noun|Too-loo-bah-gon|Responsibility|Ang tulubagon kay kinahanglan atimanon.|Responsibilities must be taken seriously.
Lingkod|Verb|Leeng-kod|Sit|Lingkod una kay naghulat ta sa order.|Sit down while we wait for the order.
Bangon|Verb|Bah-ngon|Stand|Bangon aron makita ang view.|Stand up to see the view.
Maghuwat|Verb|Mag-hoo-waht|Wait|Maghuwat ra ta diri.|We’ll just wait here.
Dali|Adjective|Dah-lee|Quick|Dali ra nga trabaho kung magtinabangay.|It’s quick work if we help each other.
Hinay|Adjective|Hee-nai|Slow|Hinay kaayo siya molihok sa klase.|He moves very slowly in class.
Lakaw|Verb|Lah-kaw|Walk|Maglakaw ta padulong sa merkado.|Let's walk to the market.
Dagan|Verb|Dah-gahn|Run|Dagan aron dili malangay sa klase.|Run so you won't be late for class.
Luto|Verb|Loo-toh|Cook|Lutoon nako ang sinugba nga isda unya.|I’ll cook the grilled fish later.
Kaon|Verb|Kah-on|Eat|Magkaon ta ug prutas aron himsog ang lawas.|Let’s eat fruits for a healthy body.
Maminaw|Verb|Mah-mee-now|Listen|Maminaw ko sa imong istorya.|I’ll listen to your story.
Tinguha|Noun|Tee-ngoo-hah|Desire|Ang akong tinguha mao ang makat-on pa gyud.|My desire is to keep learning.
Gihigugma|Verb|Gee-hee-goog-mah|Love|Gihigugma nako ang akong pamilya.|I love my family.
Lami|Adjective|Lah-mee|Delicious|Lami kaayo ang pagkaon sa among probinsya.|The food in our province is very delicious.
Tambal	|Noun|Tahm-bal|Medicine|Kinahanglan ko ug tambal kay gisakit akong ulo.|I need medicine because I have a headache.
Bahandi|Noun|Bah-han-dee|Treasure|Bahandi ang mga kaalam nga nakuha sa eskwela.|Knowledge gained from school is a treasure.


